Server,Scan_ParsedFaction,Row,Column
4037,148,23,24
1172,1172,10,13
1922,593,24,23
3383,891,24,13
4099,2050,10,23
3166,2050,9,22
3375,593,25,22
4043,3200,25,14
4096,619,9,14
738,619,8,15
1241,2641,26,15
1304,2986,8,21
3533,3533,26,21
619,19,7,16
826,2986,7,20
1290,2641,27,16
1434,3453,27,20
216,3453,28,19
411,1313,6,19
607,680,28,17
2606,1313,6,17
2211,1313,5,18
6005,3453,29,18
821,3169,17,31
2405,3384,17,5
1719,3384,16,6
2102,2275,18,6
2608,3169,16,30
4022,1756,18,30
1383,2275,19,7
2560,1337,15,7
3397,1756,19,29
4013,3169,15,29
1255,1255,14,28
1257,2275,20,8
1578,1337,14,8
4028,1756,20,28
211,2687,21,9
2403,1568,13,9
2765,2693,13,27
3506,148,21,27
148,148,22,26
1010,524,12,10
3259,2687,22,10
3469,2050,12,26
1353,2687,23,11
1444,2050,11,25
1642,148,23,25
4102,524,11,11
1061,524,10,12
1120,2050,10,24
2876,2205,24,12
2936,148,24,24
12,0,25,23
1208,3200,25,13
3310,1172,9,13
5046,2050,9,23
807,3200,26,14
988,988,8,22
2139,619,8,14
3055,2681,26,22
14,0,27,21
2036,619,7,15
2732,988,7,21
4050,2641,27,15
208,680,28,16
2228,2228,6,20
2654,3453,28,20
4086,1313,6,16
476,3453,29,19
680,680,29,17
2952,1313,5,17
5040,1313,5,19
1313,1313,4,18
2304,3453,30,18
2463,3384,17,4
4019,1547,17,32
7,0,16,31
322,1337,18,5
953,1756,18,31
4016,3384,16,5
910,1756,19,30
1337,1337,15,6
1421,2275,19,6
3169,3169,15,30
1707,3169,14,29
1756,1756,20,29
2275,2275,20,7
4011,1337,14,7
822,1337,13,8
864,1756,21,28
2877,362,13,28
6004,2687,21,8
987,2687,22,9
4001,524,12,9
4004,3198,12,27
4035,148,22,27
1661,524,11,10
2939,2050,11,26
3089,2687,23,10
3436,148,23,26
323,148,24,25
851,524,10,11
2050,2050,10,25
2880,2687,24,11
1573,891,25,12
1700,2050,9,24
2131,1679,25,24
2462,1172,9,12
1518,2050,8,23
2073,3200,26,13
2273,1172,8,13
2897,593,26,23
1842,2641,27,14
2314,619,7,14
2645,2681,27,22
3119,988,7,22
249,680,28,15
1866,619,6,15
3343,3453,28,21
3531,988,6,21
1427,3453,29,20
2829,1313,5,20
2988,680,29,16
3223,1313,5,16
499,3453,30,19
1852,1313,4,17
2064,3453,30,17
4082,1313,4,19
1525,1313,3,18
1622,3453,31,18
1565,1547,17,33
2691,3384,17,3
921,1547,16,32
1282,3384,16,4
1917,1917,18,32
3543,3543,18,4
5,0,15,5
1645,1547,15,31
1898,1756,19,31
3438,2275,19,5
1096,1756,20,30
2652,1337,14,6
2695,1547,14,30
4030,2275,20,6
502,1756,21,29
1401,3198,13,29
2535,2687,21,7
3601,1337,13,7
654,2687,22,8
1805,148,22,28
2937,2937,12,8
3406,3198,12,28
362,362,11,27
922,524,11,9
1378,148,23,27
3530,2687,23,9
819,2687,24,10
1047,148,24,26
1587,2050,10,26
2242,524,10,10
4,0,9,11
1679,1679,25,25
4042,2687,25,11
4097,3535,9,25
857,3200,26,12
1132,2820,8,12
2373,1718,8,24
3371,1679,26,24
1420,988,7,23
1954,19,7,13
2989,3200,27,13
3280,2681,27,23
965,619,6,14
1107,3200,28,14
2681,2681,28,22
4087,3535,6,22
655,619,5,15
2350,2350,5,21
3354,3453,29,21
5025,680,29,15
225,680,30,16
2816,1313,4,20
3453,3453,30,20
6010,1313,4,16
744,1313,3,17
808,680,31,17
1083,3453,31,19
2797,1313,3,19
420,1313,2,18
2263,3453,32,18
2473,3384,17,34
4020,3384,17,2
1052,1547,16,33
1067,3384,16,3
2748,3384,18,3
3374,1917,18,33
1664,1664,19,4
1981,1547,15,32
2010,3384,15,4
2600,2600,19,32
962,3384,14,5
984,1547,14,31
5014,1756,20,31
5015,2275,20,5
1232,1547,13,30
3260,1756,21,30
3400,1337,13,6
3522,2275,21,6
1507,3198,12,29
1567,2687,22,7
1781,1756,22,29
3618,1337,12,7
805,148,23,28
1399,1718,11,28
2687,2687,23,8
4106,524,11,8
685,1718,10,27
1011,148,24,27
2495,2495,10,9
4041,2687,24,9
1357,148,25,26
1406,2687,25,10
1542,3535,9,26
3510,1172,9,10
1725,3535,8,25
2746,1679,26,25
3087,3200,26,11
3199,524,8,11
435,3535,7,24
2289,2681,27,24
3200,3200,27,12
4088,619,7,12
1566,3200,28,13
2078,2197,6,13
3258,3535,6,23
4053,2681,28,23
1221,1677,5,22
1423,2197,5,14
2189,1446,29,14
3116,3453,29,22
2579,680,30,15
3003,2197,4,15
3120,3453,30,21
3526,1313,4,21
622,1313,3,20
1484,680,31,16
3534,1313,3,16
4060,3453,31,20
1527,680,32,17
1563,1313,2,19
2037,1313,2,17
5030,5030,32,19
2169,1640,33,18
2464,1313,1,18
1400,3384,17,1
1287,1287,18,34
1708,3384,16,34
1854,3384,18,2
3384,3384,16,2
1428,3384,15,3
1867,1547,15,33
2157,2157,19,33
4026,3384,19,3
868,1756,20,32
1073,2275,20,4
1826,1547,14,32
2617,1337,14,4
1477,2275,21,5
1618,1337,13,5
2029,1756,21,31
4005,1547,13,31
1803,2687,22,6
2119,1756,22,30
2764,1337,12,6
3144,3198,12,30
521,1756,23,29
2043,2043,11,7
3198,3198,11,29
4040,2687,23,7
466,2687,24,8
2195,1329,10,8
4100,1718,10,28
5018,148,24,28
372,372,25,27
1625,2687,25,9
1718,1718,9,27
4095,1329,9,9
252,252,8,10
1517,3200,26,10
2631,3535,8,26
4046,148,26,26
1799,2820,7,11
3019,3535,7,25
5020,3200,27,11
5022,2681,27,25
520,3535,6,24
2782,2681,28,24
2820,2820,6,12
3454,3200,28,12
2596,2596,5,23
3396,2197,5,13
3494,3200,29,13
5026,3453,29,23
626,3453,30,22
2197,2197,4,14
3399,1677,4,22
4058,680,30,14
3,0,3,21
703,2112,31,15
1373,3453,31,21
1510,1510,3,15
1663,3453,32,20
2274,2274,2,20
2922,1640,32,16
4075,1313,2,16
1112,1640,1,19
1779,1640,1,17
3170,3453,33,19
4067,680,33,17
1343,1640,34,18
959,3384,18,1
5010,3384,16,1
2087,3384,15,34
2185,3384,15,2
2971,3384,19,2
3351,674,19,34
1547,1547,14,33
2503,674,20,3
3036,3036,20,33
3307,3384,14,3
1515,1547,13,32
2272,2272,21,4
2800,2800,13,4
3382,3382,21,32
2642,1070,22,31
3142,3142,22,5
5004,1547,12,31
5005,1337,12,5
531,2687,23,6
1432,3198,11,30
2344,1070,23,30
2974,2974,11,6
1029,1070,24,29
1165,1165,10,7
