Server,Scan_ParsedFaction,Row,Column
2817,2842,1,1
1219,2842,1,2
2818,2818,1,3
3422,3422,1,4
2784,341,1,5
1453,341,1,6
591,341,1,7
341,341,1,8
2923,341,1,9
3477,341,1,10
596,341,1,11
3004,3004,1,12
741,741,1,13
2270,2197,1,14
5034,2197,1,15
1640,1640,1,16
1779,1640,1,17
2464,1313,1,18
1112,1640,1,19
859,2274,1,20
4073,2216,1,21
3040,2216,1,22
5035,5035,1,23
653,2216,1,24
369,2216,1,25
1,0,1,26
3051,2216,1,27
3468,2216,1,28
1809,836,1,29
1145,1145,1,30
3001,2842,1,31
884,2842,1,32
5036,2842,1,33
2147,2842,1,34
2085,2842,2,1
5038,184,2,2
2556,184,2,3
312,312,2,4
1033,341,2,5
2,0,2,6
839,341,2,7
4077,341,2,8
795,341,2,9
4074,341,2,10
3538,341,2,11
1801,1801,2,12
926,2197,2,13
2609,2197,2,14
2091,2091,2,15
4075,1313,2,16
2037,1313,2,17
420,1313,2,18
1563,1313,2,19
2274,2274,2,20
154,154,2,21
2501,2216,2,22
2001,2216,2,23
601,2216,2,24
2216,2216,2,25
1687,2216,2,26
2781,2216,2,27
5037,2216,2,28
1136,836,2,29
3602,836,2,30
4076,836,2,31
2685,2842,2,32
1529,2842,2,33
2842,2842,2,34
2925,184,3,1
1363,184,3,2
2862,184,3,3
4080,184,3,4
1494,1494,3,5
2040,341,3,6
707,341,3,7
6007,341,3,8
3410,341,3,9
935,341,3,10
1020,1020,3,11
1365,1365,3,12
2616,2197,3,13
2044,2197,3,14
1510,1510,3,15
3534,1313,3,16
744,1313,3,17
1525,1313,3,18
2797,1313,3,19
622,1313,3,20
3,0,3,21
1499,1677,3,22
3279,2216,3,23
3605,2216,3,24
4078,2216,3,25
1692,2216,3,26
3616,2216,3,27
2442,836,3,28
973,836,3,29
2465,836,3,30
930,836,3,31
78,2842,3,32
2311,2842,3,33
4079,2842,3,34
184,184,4,1
3627,184,4,2
1414,184,4,3
1519,184,4,4
3509,2699,4,5
1397,2699,4,6
1951,2699,4,7
2697,2699,4,8
3524,3524,4,9
2682,2682,4,10
659,659,4,11
3221,2197,4,12
4081,2197,4,13
2197,2197,4,14
3003,2197,4,15
6010,1313,4,16
1852,1313,4,17
1313,1313,4,18
4082,1313,4,19
2816,1313,4,20
3526,1313,4,21
