Server,Scan_ParsedFaction,Row,Column
2765,2693,13,27
3506,148,21,27
148,148,22,26
1010,524,12,10
3259,2687,22,10
3469,2050,12,26
1353,2687,23,11
1444,2050,11,25
1642,148,23,25
4102,524,11,11
1061,524,10,12
1120,2050,10,24
2876,2687,24,12
2936,148,24,24
12,0,25,23
1208,3200,25,13
3310,3310,9,13
5046,2050,9,23
807,3200,26,14
988,988,8,22
2139,2139,8,14
3055,3055,26,22
14,0,27,21
2036,2036,7,15
2732,988,7,21
4050,4050,27,15
208,208,28,16
2228,1313,6,20
2654,3453,28,20
4086,1313,6,16
476,3453,29,19
680,3453,29,17
2952,1313,5,17
5040,1313,5,19
1313,1313,4,18
2304,3453,30,18
2463,3384,17,4
4019,4019,17,32
7,0,16,31
322,3384,18,5
953,1756,18,31
4016,3384,16,5
910,1756,19,30
1337,3384,15,6
1421,1421,19,6
3169,3169,15,30
1707,3169,14,29
1756,1756,20,29
2275,2687,20,7
4011,4011,14,7
822,822,13,8
864,148,21,28
2877,2693,13,28
6004,2687,21,8
987,2687,22,9
4001,524,12,9
4004,3198,12,27
4035,148,22,27
1661,524,11,10
2939,2050,11,26
3089,2687,23,10
3436,148,23,26
323,148,24,25
851,524,10,11
2050,2050,10,25
2880,2687,24,11
1573,2687,25,12
1700,2050,9,24
2131,148,25,24
2462,524,9,12
1518,2050,8,23
2073,3200,26,13
2273,2273,8,13
2897,2897,26,23
1842,1842,27,14
2314,2314,7,14
2645,3453,27,22
3119,988,7,22
249,249,28,15
1866,1313,6,15
3343,3453,28,21
3531,988,6,21
1427,3453,29,20
2829,1313,5,20
2988,2988,29,16
3223,1313,5,16
499,3453,30,19
1852,1313,4,17
2064,3453,30,17
4082,1313,4,19
1525,1313,3,18
1622,3453,31,18
1565,3384,17,33
2691,3384,17,3
921,921,16,32
1282,3384,16,4
1917,1756,18,32
3543,3384,18,4
5,0,15,5
1645,1645,15,31
1898,1756,19,31
3438,3438,19,5
1096,1756,20,30
2652,3384,14,6
2695,2695,14,30
4030,4030,20,6
502,1756,21,29
1401,3198,13,29
2535,2687,21,7
3601,3601,13,7
654,2687,22,8
1805,1756,22,28
2937,524,12,8
3406,3198,12,28
362,362,11,27
922,524,11,9
1378,148,23,27
3530,2687,23,9
819,2687,24,10
1047,148,24,26
1587,2050,10,26
2242,524,10,10
4,0,9,11
1679,148,25,25
4042,2687,25,11
4097,4097,9,25
857,3200,26,12
1132,524,8,12
2373,1718,8,24
3371,3371,26,24
1420,988,7,23
1954,2197,7,13
2989,3200,27,13
3280,3280,27,23
965,965,6,14
1107,3200,28,14
2681,3453,28,22
4087,4087,6,22
655,1313,5,15
2350,1313,5,21
3354,3453,29,21
5025,5025,29,15
225,3453,30,16
2816,1313,4,20
3453,3453,30,20
6010,1313,4,16
744,1313,3,17
808,3453,31,17
1083,3453,31,19
2797,1313,3,19
420,1313,2,18
2263,3453,32,18
